"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1026","Validate Council Output [NorthLanarkshireCouncil]","","Wed Jan 29 02:21:37 GMT 2025","passed","Wed Jan 29 02:21:38 GMT 2025","","","",""
"","54482","Validate Council Output [MidSussexDistrictCouncil]","","Wed Jan 29 02:20:24 GMT 2025","passed","Wed Jan 29 02:21:19 GMT 2025","","","",""
"","2297","Validate Council Output [TandridgeDistrictCouncil]","","Wed Jan 29 02:30:08 GMT 2025","passed","Wed Jan 29 02:30:10 GMT 2025","","","",""
"","4178","Validate Council Output [AberdeenCityCouncil]","","Wed Jan 29 01:42:39 GMT 2025","passed","Wed Jan 29 01:42:43 GMT 2025","","","",""
"","300078","Validate Council Output [NeathPortTalbotCouncil]","","Wed Jan 29 02:21:48 GMT 2025","failed","Wed Jan 29 02:26:48 GMT 2025","","","",""
"","276252","Validate Council Output [BoltonCouncil]","","Wed Jan 29 01:53:26 GMT 2025","passed","Wed Jan 29 01:58:02 GMT 2025","","","",""
"","3232","Validate Council Output [StevenageBoroughCouncil]","","Wed Jan 29 02:27:43 GMT 2025","passed","Wed Jan 29 02:27:46 GMT 2025","","","",""
"","1756","Validate Council Output [ArgyllandButeCouncil]","","Wed Jan 29 01:42:49 GMT 2025","failed","Wed Jan 29 01:42:51 GMT 2025","","","",""
"","1954","Validate Council Output [GlasgowCityCouncil]","","Wed Jan 29 02:12:47 GMT 2025","passed","Wed Jan 29 02:12:49 GMT 2025","","","",""
"","2261","Validate Council Output [ThanetDistrictCouncil]","","Wed Jan 29 02:38:58 GMT 2025","passed","Wed Jan 29 02:39:00 GMT 2025","","","",""
"","283022","Validate Council Output [AshfieldDistrictCouncil]","","Wed Jan 29 01:47:57 GMT 2025","passed","Wed Jan 29 01:52:40 GMT 2025","","","",""
"","1132","Validate Council Output [CopelandBoroughCouncil]","","Wed Jan 29 01:57:45 GMT 2025","failed","Wed Jan 29 01:57:46 GMT 2025","","","",""
"","300206","Validate Council Output [ThreeRiversDistrictCouncil]","","Wed Jan 29 02:32:36 GMT 2025","failed","Wed Jan 29 02:37:36 GMT 2025","","","",""
"","1033","Validate Council Output [LondonBoroughHavering]","","Wed Jan 29 02:13:00 GMT 2025","passed","Wed Jan 29 02:13:01 GMT 2025","","","",""
"","14221","Validate Council Output [MorayCouncil]","","Wed Jan 29 02:21:34 GMT 2025","passed","Wed Jan 29 02:21:48 GMT 2025","","","",""
"","577108","Validate Council Output [ChorleyCouncil]","","Wed Jan 29 01:42:46 GMT 2025","passed","Wed Jan 29 01:52:23 GMT 2025","","","",""
"","1742","Validate Council Output [ManchesterCityCouncil]","","Wed Jan 29 02:19:32 GMT 2025","passed","Wed Jan 29 02:19:33 GMT 2025","","","",""
"","306358","Validate Council Output [AshfordBoroughCouncil]","","Wed Jan 29 01:52:40 GMT 2025","failed","Wed Jan 29 01:57:47 GMT 2025","","","",""
"","1717","Validate Council Output [EastAyrshireCouncil]","","Wed Jan 29 02:02:01 GMT 2025","passed","Wed Jan 29 02:02:03 GMT 2025","","","",""
"","2727","Validate Council Output [HaringeyCouncil]","","Wed Jan 29 02:19:40 GMT 2025","passed","Wed Jan 29 02:19:42 GMT 2025","","","",""
"","300014","Validate Council Output [BlackburnCouncil]","","Wed Jan 29 01:43:26 GMT 2025","failed","Wed Jan 29 01:48:26 GMT 2025","","","",""
"","2472","Validate Council Output [LeicesterCityCouncil]","","Wed Jan 29 02:21:51 GMT 2025","passed","Wed Jan 29 02:21:53 GMT 2025","","","",""
"","300007","Validate Council Output [EastRidingCouncil]","","Wed Jan 29 02:12:58 GMT 2025","failed","Wed Jan 29 02:17:58 GMT 2025","","","",""
"","71431","Validate Council Output [WestOxfordshireDistrictCouncil]","","Wed Jan 29 02:39:21 GMT 2025","failed","Wed Jan 29 02:40:33 GMT 2025","","","",""
